feature,mean_val_Low,mean_val_High,sd_val_Low,sd_val_High,mean_diff,pooled_sd,cohens_d,signal_to_noise
eeg_pright_lbeta_power_precond,-0.0016602272727273145,-0.035080681818181796,0.2812307493446604,0.19621513870494564,0.03342045454545448,0.24247795264101876,0.13782883838075147,0.13782883838075147
eeg_c_theta_power_precond,0.04759772727272727,0.09042386363636366,0.3497212101408228,0.318255391551451,0.04282613636363639,0.33435865404826065,0.12808442624444516,0.12808442624444516
eeg_tright_lalpha_power_precond,-0.035888636363636345,0.005785227272727294,0.3812020526267596,0.2623234804586653,0.04167386363636364,0.32720682551469077,0.127362452084584,0.127362452084584
eeg_fl_hbeta_power_precond,0.02524545454545454,-0.013613636363636354,0.35036538396073313,0.2767618305445947,0.03885909090909089,0.3157158636530218,0.12308247821147761,0.12308247821147761
eeg_pleft_halpha_power_precond,-0.09250113636363637,-0.04763750000000002,0.28353241031642795,0.4422503725559336,0.04486363636363635,0.3714673738874689,0.12077409623927615,0.12077409623927615
eeg_p_theta_power_precond,0.02232727272727273,0.07213750000000001,0.3835457186934938,0.47685494922520694,0.04981022727272728,0.43272275242277436,0.11510887050390685,0.11510887050390685
eeg_p_lalpha_power_precond,-0.024305681818181792,0.02068750000000006,0.3624271146253019,0.4378412673095073,0.04499318181818185,0.40190694742366495,0.11194925120503796,0.11194925120503796
eeg_tright_halpha_power_precond,-0.08818749999999997,-0.05328977272727271,0.36128373121364765,0.2648727493391431,0.03489772727272726,0.3167676654759224,0.11016821183530756,0.11016821183530756
eeg_c_lalpha_power_precond,-0.026456818181818175,0.007023863636363678,0.3513747829795098,0.260175192079119,0.033480681818181854,0.3091564075733383,0.10829690408483461,0.10829690408483461
eeg_p_hbeta_power_precond,0.04168295454545456,0.004447727272727338,0.31856098325272103,0.37652283439701445,0.03723522727272722,0.348748150441907,0.10676824300156312,0.10676824300156312
eeg_tright_alpha_power_precond,-0.06447499999999998,-0.03210681818181816,0.35455251682072153,0.2504530542172947,0.03236818181818182,0.3069480571291169,0.10545165889278207,0.10545165889278207
eeg_pright_halpha_power_precond,-0.07484659090909097,-0.10140454545454543,0.26919731085609405,0.24073186920859604,0.026557954545454454,0.2553615329535922,0.10400139064907998,0.10400139064907998
pupil_full_pupil_med_precond,0.015069997630925407,0.09664600319151255,0.9032393033219563,0.7203805383678868,0.08157600556058714,0.8169422743146358,0.09985528736289767,0.09985528736289767
