condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
Low Stress - Low Cog,LS–LW,workload,hr_med_precond_Z,HR/HRV,0.19444925181231723,0.19028979376737015,0.2537197250231602,47
High Stress - High Cog,HS–HW,stress,hr_sd_precond_Z,HR/HRV,-0.011435039606659779,0.9391914572425892,0.9391914572425892,47
High Stress - High Cog,HS–HW,workload,hr_sd_precond_Z,HR/HRV,-0.0421842452310817,0.7782974466507666,0.9034519913404035,47
High Stress - Low Cog,HS–LW,stress,hr_sd_precond_Z,HR/HRV,0.14250457692446833,0.33930293977481385,0.4524039196997518,47
High Stress - Low Cog,HS–LW,workload,hr_sd_precond_Z,HR/HRV,0.28396054984893354,0.05307140032443837,0.10614280064887674,47
Low Stress - High Cog,LS–HW,stress,hr_sd_precond_Z,HR/HRV,0.060087065835593735,0.6882680470591607,0.6882680470591607,47
Low Stress - High Cog,LS–HW,workload,hr_sd_precond_Z,HR/HRV,-0.026966256114077044,0.8572108056007165,0.8572108056007165,47
Low Stress - Low Cog,LS–LW,stress,hr_sd_precond_Z,HR/HRV,0.34810579647191403,0.016495848823732104,0.02199446509830947,47
Low Stress - Low Cog,LS–LW,workload,hr_sd_precond_Z,HR/HRV,0.343644806464953,0.018030292287779442,0.07212116915111777,47
High Stress - High Cog,HS–HW,stress,hrv_rmssd_precond_Z,HR/HRV,-0.08097874986757027,0.5884365025181695,0.9391914572425892,47
High Stress - High Cog,HS–HW,workload,hrv_rmssd_precond_Z,HR/HRV,0.1382539132466746,0.3540513847548745,0.9034519913404035,47
High Stress - Low Cog,HS–LW,stress,hrv_rmssd_precond_Z,HR/HRV,0.006967150638460038,0.9629286921899389,0.9629286921899389,47
High Stress - Low Cog,HS–LW,workload,hrv_rmssd_precond_Z,HR/HRV,-0.38287931752264637,0.007901077227556046,0.031604308910224185,47
Low Stress - High Cog,LS–HW,stress,hrv_rmssd_precond_Z,HR/HRV,-0.2515272523350435,0.08810297405140764,0.1428808701113225,47
Low Stress - High Cog,LS–HW,workload,hrv_rmssd_precond_Z,HR/HRV,-0.08054549861147903,0.5904399181927009,0.8572108056007165,47
Low Stress - Low Cog,LS–LW,stress,hrv_rmssd_precond_Z,HR/HRV,-0.05538046762053178,0.7115838785750321,0.7115838785750321,47
Low Stress - Low Cog,LS–LW,workload,hrv_rmssd_precond_Z,HR/HRV,-0.15826211107439583,0.28801416781466854,0.28801416781466854,47
High Stress - High Cog,HS–HW,stress,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,0.23606808521743544,0.12290005831347388,0.8467513667693556,44
High Stress - High Cog,HS–HW,workload,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,0.10780824679905253,0.48607431338443763,0.9203176193546945,44
High Stress - Low Cog,HS–LW,stress,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,-0.014079863211842713,0.927722254344493,0.9713505226781991,44
High Stress - Low Cog,HS–LW,workload,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,0.047160615711302464,0.7611343564195006,0.7996346659838194,44
Low Stress - High Cog,LS–HW,stress,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,0.26731170197587106,0.07940010375657605,0.1588002075131521,44
Low Stress - High Cog,LS–HW,workload,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,-0.011671853650137317,0.9400588055865347,0.9834379326728022,44
Low Stress - Low Cog,LS–LW,stress,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,0.027518291083014363,0.8592615476819441,0.8592615476819441,44
Low Stress - Low Cog,LS–LW,workload,eeg_fm_alpha_power_precond_Z,EEG_FrontalMidline,0.0735606167806997,0.635113042206563,0.8343344532056074,44
High Stress - High Cog,HS–HW,stress,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,0.048976486213433604,0.7522224658872063,0.8596828181568071,44
High Stress - High Cog,HS–HW,workload,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,-0.050535115687055876,0.7445983171886614,0.9203176193546945,44
High Stress - Low Cog,HS–LW,stress,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,0.116712774745884,0.4505601178756905,0.9713505226781991,44
High Stress - Low Cog,HS–LW,workload,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,0.08804266231126663,0.5698300795575708,0.7996346659838194,44
Low Stress - High Cog,LS–HW,stress,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,0.27724630199621136,0.06845466607717415,0.1588002075131521,44
Low Stress - High Cog,LS–HW,workload,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,0.0032222908850072346,0.9834379326728022,0.9834379326728022,44
Low Stress - Low Cog,LS–LW,stress,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,0.26106914813550486,0.0869502771052439,0.3478011084209756,44
Low Stress - Low Cog,LS–LW,workload,eeg_fm_beta_power_precond_Z,EEG_FrontalMidline,0.14690656250075532,0.34130448967726834,0.8343344532056074,44
High Stress - High Cog,HS–HW,stress,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.18488801254156867,0.22955969823930275,0.8467513667693556,44
High Stress - High Cog,HS–HW,workload,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.015526731196602675,0.9203176193546945,0.9203176193546945,44
High Stress - Low Cog,HS–LW,stress,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.014723105693602023,0.9244295508698706,0.9713505226781991,44
High Stress - Low Cog,HS–LW,workload,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.13663022554787324,0.37649709424414535,0.7996346659838194,44
Low Stress - High Cog,LS–HW,stress,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.21146505757581516,0.16821575369700956,0.1922465756537252,44
