task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds
stress_classification,Random Forest,physio,subtract,within_subject,full,10,3853.6,963.4,0.5387564693438422,0.04137831756842759,0.5472282495000796,0.5589122551854047,0.5497610380377237,0.5572738488776514,0.6159420289855072,6.666960954666138
stress_classification,Logistic Regression,physio,subtract,within_subject,full,10,3853.6,963.4,0.5680159760064676,0.06630972911983352,0.5729430583004022,0.6293055785150841,0.5959575964484988,0.6238943128869907,0.6423357664233577,2.690373182296753
stress_classification,Logistic Regression,all,subtract,within_subject,full,87,3853.6,963.4,0.5344579514632253,0.0401538017028115,0.5442435910264652,0.5563293921775212,0.5466231281197287,0.5738171294145071,0.6204379562043796,8.037219524383545
stress_classification,Logistic Regression,eeg,subtract,within_subject,full,77,3853.6,963.4,0.49085561083909923,0.03315350940856267,0.5030482903826059,0.511873235023194,0.5037377141998289,0.5064524567855656,0.5362318840579711,8.32417368888855
stress_classification,XGBoost,eeg,subtract,within_subject,last_90s,77,3853.6,963.4,0.49302606814332217,0.046885791186355615,0.5066788064598444,0.5185668666214964,0.5087523389018623,0.5014442508902939,0.5652173913043478,213.58592009544373
stress_classification,XGBoost,all,subtract,within_subject,last_90s,87,3853.6,963.4,0.51396867798072,0.03062290781746793,0.5243857596151776,0.5271642432046694,0.5224727318945669,0.5313046068879471,0.5797101449275363,217.60976386070251
stress_classification,Neural Network (MLP),physio,subtract,within_subject,full,10,3853.6,963.4,0.5479841765777698,0.027779656785723403,0.5548932590142062,0.5773150051259858,0.5623461848863756,0.5835965961958507,0.6376811594202898,31.582209825515747
stress_classification,Neural Network (MLP),eeg,subtract,within_subject,full,77,3853.6,963.4,0.5009253782117767,0.0378091998856785,0.508065671366609,0.534498619472124,0.5189184609497826,0.4996870562405979,0.5797101449275363,36.058815002441406
stress_classification,Neural Network (MLP),all,subtract,within_subject,full,87,3853.6,963.4,0.4858948773683271,0.019369616949628944,0.4948055131421537,0.4901961638470789,0.4902086500650853,0.488583120623733,0.5547445255474452,37.87997817993164
stress_classification,SVM,physio,subtract,within_subject,full,10,3853.6,963.4,0.5116831001622507,0.026098380400995793,0.5218720540739373,0.5317610947733865,0.5220566532370441,0.5381729784745192,0.583941605839416,40.267449140548706
stress_classification,K-Nearest Neighbors,physio,subtract,within_subject,full,10,3853.6,963.4,0.5037842269094804,0.02767317168308398,0.5115537735593216,0.505878047655704,0.5068524997880209,0.499571764813638,0.5620437956204379,4.8193089962005615
stress_classification,K-Nearest Neighbors,eeg,subtract,within_subject,full,77,3853.6,963.4,0.49859980765800405,0.02259357138888972,0.506080723764237,0.5293518601947993,0.515780174324879,0.4923948732686695,0.5942028985507246,21.04685139656067
stress_classification,K-Nearest Neighbors,all,subtract,within_subject,full,87,3853.6,963.4,0.4819109451060884,0.019609091666505724,0.49238803593359537,0.49686994895298636,0.4910624703414662,0.475379655678038,0.5693430656934306,25.358222007751465
stress_classification,Linear Discriminant Analysis,physio,subtract,within_subject,full,10,3853.6,963.4,0.5648603607577893,0.06441626633945619,0.5680751280363375,0.63718219538815,0.596955890270676,0.6243758940235766,0.6423357664233577,4.490725755691528
stress_classification,Linear Discriminant Analysis,eeg,subtract,within_subject,full,77,3853.6,963.4,0.4997951236532945,0.026377293224866122,0.5101966689213575,0.5156273485232786,0.5099889213667586,0.5153642790451726,0.5441176470588235,11.345553398132324
stress_classification,Linear Discriminant Analysis,all,subtract,within_subject,full,87,3853.6,963.4,0.5341077141536905,0.029314915439915757,0.543571014255788,0.552450164421757,0.5448227119012758,0.5779135479428945,0.5985401459854015,13.596163511276245
stress_classification,XGBoost,physio,subtract,within_subject,last_120s,10,3853.6,963.4,0.546381647445082,0.04681335694210064,0.5514713260422288,0.5800144071534402,0.5622253813197238,0.5687463576742626,0.6739130434782609,170.12733006477356
stress_classification,Random Forest,physio,zscore,within_subject,last_60s,10,3853.6,963.4,0.5097594241383518,0.051614696721642206,0.5258874597801289,0.48149456479967273,0.4971581128901633,0.5209681027746577,0.5693430656934306,12.439548015594482
stress_classification,SVM,all,subtract,within_subject,full,87,3853.6,963.4,0.4678839138218387,0.0353826951606015,0.48098142133251753,0.4855853213525981,0.47969857461139576,0.465818085572742,0.5766423357664233,71.1581552028656
stress_classification,SVM,eeg,subtract,within_subject,full,77,3853.6,963.4,0.46813778507259973,0.03941933813849868,0.4818585092460232,0.519110284962238,0.4959926857455576,0.46508025775266093,0.5362318840579711,71.67894101142883
stress_classification,Logistic Regression,physio,zscore,within_subject,last_60s,10,3853.6,963.4,0.5716979707237844,0.08396779890184136,0.5889959173870531,0.5697026076900429,0.5745727183590176,0.6207796614813409,0.6444444444444445,2.75376296043396
stress_classification,Logistic Regression,all,zscore,within_subject,last_60s,87,3853.6,963.4,0.5211738713577055,0.04505651130204397,0.5298705824330154,0.5197249255342673,0.5230571830093084,0.5385234930210931,0.5797101449275363,13.349963665008545
stress_classification,Logistic Regression,eeg,zscore,within_subject,last_60s,77,3853.6,963.4,0.4857874674040417,0.030779225760384343,0.49514556912782526,0.4885020273362256,0.489087859840539,0.4927274248425227,0.5507246376811594,11.43508267402649
stress_classification,XGBoost,eeg,subtract,within_subject,last_120s,77,3853.6,963.4,0.48901940339036,0.03188763755376183,0.5023210664877984,0.5107391186615442,0.5023378452396146,0.4878312452154104,0.5547445255474452,191.20712184906006
stress_classification,Random Forest,all,zscore,within_subject,last_60s,87,3853.6,963.4,0.5152664046601003,0.07016214322406243,0.524077273797456,0.5228702020004943,0.5214968985177397,0.5234032494567011,0.5766423357664233,35.20501112937927
stress_classification,Random Forest,eeg,zscore,within_subject,last_60s,77,3853.6,963.4,0.5224091740632553,0.06050325196067345,0.5293601666063132,0.5184693227195275,0.5226885358555843,0.5190168831273739,0.5797101449275363,31.476518154144287
stress_classification,XGBoost,all,subtract,within_subject,last_120s,87,3853.6,963.4,0.529286912328042,0.053123842351947746,0.5377268316747456,0.5544131130637548,0.5419097592708898,0.5393275802643493,0.6231884057971014,200.3602476119995
stress_classification,K-Nearest Neighbors,all,zscore,within_subject,last_60s,87,3853.6,963.4,0.5073373218370977,0.01416111813795079,0.5139344012354073,0.5121261879338908,0.5120315245936181,0.5077397169496242,0.5985401459854015,23.724052667617798
stress_classification,K-Nearest Neighbors,physio,zscore,within_subject,last_60s,10,3853.6,963.4,0.5135035355522591,0.05690223219741865,0.5252704978547895,0.5176794077269357,0.518236253825864,0.5215748473466002,0.5942028985507246,4.410952806472778
